episode,reward,length,reward_per_step
68,193.641994160178,475,0.4076673561266905
69,169.4913992615766,978,0.17330408922451593
70,318.0773646449088,461,0.6899725914206265
71,348.8830758780241,384,0.9085496767656878
72,236.79477071060683,282,0.8396977684773291
73,48.22919903427828,1340,0.03599193957781961
74,102.65302255039569,868,0.11826385086451116
75,182.83460935410403,985,0.1856188927452833
76,165.82214550615754,1001,0.1656564890171404
77,246.53405320085585,268,0.919903183585283
78,93.62343307834817,1483,0.06313110794224422
79,337.34038773877546,507,0.665365656289498
80,296.40047710598446,583,0.5084056211080351
81,165.4889263547957,942,0.1756782657694222
82,283.07941268611467,642,0.4409336646201163
83,-1096.6285300675445,5000,-0.2193257060135089
84,68.80840284242004,1451,0.04742136653509307
85,104.33469261132996,843,0.12376594615816128
86,238.0727566757705,327,0.7280512436567905
87,285.60003703820985,667,0.42818596257602676
88,358.0885349956807,337,1.0625772551800614
89,220.26345101674087,766,0.28755019714979224
90,251.0640621437342,810,0.30995563227621503
91,246.95987478706957,786,0.31419831397846
92,234.36914693071958,931,0.25173914815329707
93,321.4441081334371,386,0.8327567568223759
94,254.45091330393916,260,0.9786573588613044
95,230.81479106040206,856,0.2696434475004697
96,260.81757364025543,292,0.8932108686310117
97,217.91760154196527,727,0.29974910803571564
98,356.7638301929692,383,0.9314982511565775
99,295.349313121289,135,2.187772689787326
100,125.9115108660626,697,0.180647791773404
101,353.9008328644559,340,1.0408848025425173
102,209.5860963552259,397,0.5279246759577478
103,212.37745474773692,940,0.22593346249759247
104,399.09851204720326,225,1.7737711646542367
105,144.20239279908128,1154,0.1249587459264136
106,290.06228633748833,584,0.49668199715323347
107,315.77996697754133,435,0.7259309585690605
108,138.72713134170044,678,0.20461228811460241
109,350.6204482303001,475,0.7381483120637897
110,333.4344470615033,499,0.6682053047324715
111,193.141653011553,980,0.19708331939954388
112,173.47680441325065,975,0.177924927603334
113,309.60407237200707,507,0.6106589198658916
114,187.35639399918728,1020,0.18368273921488948
115,169.08999698176922,1094,0.15456124038552946
116,238.5679474266799,800,0.29820993428334985
117,275.5369005333632,152,1.8127427666668634
118,342.9394401598547,452,0.7587155755748998
119,330.47750944970176,594,0.5563594435180165
120,309.79204317898257,489,0.6335215606932159
121,197.7523134337971,490,0.40357614986489204
122,327.16565407038433,494,0.6622786519643408
123,246.4106888032984,814,0.302715833910686
124,287.3699737591669,169,1.70041404591223
125,262.65383684670087,784,0.33501764903915926
126,245.4306545521831,821,0.2989411139490659
127,309.5936114144861,534,0.5797633172555919
128,296.7369021140039,142,2.0896964937605906
129,202.9742458211258,1020,0.19899435864816256
130,232.06891068961704,716,0.32411859034862717
131,233.4638311706949,343,0.6806525690107723
132,270.7759944599238,298,0.9086442767111538
133,308.93687331164256,542,0.5699942312022925
134,197.65691771070124,504,0.39217642402916914
135,346.56975316513854,467,0.7421193857925878
136,254.47572275681887,674,0.3775604195205028
137,214.67473117820919,337,0.6370170064635288
138,221.7458278432896,381,0.5820100468327811
139,279.14349055849016,225,1.2406377358155118
140,171.91075378563255,662,0.2596839181051851
141,275.87203059112653,180,1.5326223921729252
142,175.40177276037866,1034,0.16963420963286138
143,295.4982653069892,555,0.53242930685944
144,94.92712569847936,1539,0.061681043338842986
145,289.29664793401025,790,0.3661982885240636
146,69.18887559091672,1500,0.04612591706061115
147,343.07733209244907,359,0.9556471646029222
